노선명,역명,승차총승객수,하차총승객수
8호선,단대오거리,13482,13072
중앙선,원덕,372,362
중앙선,용문,2194,2097
중앙선,지평,72,71
우이신설선,4.19민주묘지,4515,4447
우이신설선,가오리,4770,4896
우이신설선,화계,3829,3681
우이신설선,삼양,2220,2390
우이신설선,삼양사거리,2737,2708
우이신설선,솔샘,6881,6454
우이신설선,북한산보국문,7233,7088
우이신설선,정릉,5498,4973
우이신설선,성신여대입구(돈암),3769,4214
우이신설선,보문,1748,1698
우이신설선,신설동,2775,2612
일산선,원흥,12918,12339
일산선,지축,2,0
일산선,삼송,21076,20177
일산선,원당,12506,11760
일산선,화정,18534,19111
일산선,대곡,3220,2380
일산선,백석,10559,10662
일산선,마두,8347,8674
일산선,정발산,7592,7482
일산선,주엽,10350,10543
일산선,대화,14723,11171
장항선,봉명,1595,1603
장항선,쌍용(나사렛대),3269,3110
장항선,아산,4345,3991
장항선,탕정,1687,1463
장항선,배방,1282,1209
장항선,온양온천,4569,4663
장항선,신창(순천향대),2841,2747
중앙선,회기,30333,29319
중앙선,중랑,5932,5836
중앙선,상봉(시외버스터미널),6311,6296
중앙선,망우,8090,7807
중앙선,양원,3534,3482
중앙선,구리,14503,14646
중앙선,도농,12694,11578
중앙선,양정,659,552
중앙선,덕소,5919,5696
중앙선,도심,2807,2191
중앙선,팔당,770,780
중앙선,운길산,661,696
3호선,금호,8841,8088
3호선,옥수,9807,9948
1호선,서울역,55292,52681
1호선,시청,31078,31069
1호선,종각,43422,43065
1호선,종로3가,26578,23638
1호선,종로5가,26110,25873
1호선,동대문,11686,11212
1호선,신설동,15455,14851
1호선,제기동,17350,17321
1호선,청량리(서울시립대입구),21994,21494
1호선,동묘앞,8445,8872
2호선,시청,30681,29475
2호선,을지로입구,52155,54792
2호선,을지로3가,28397,28085
2호선,을지로4가,15341,15738
2호선,동대문역사문화공원(DDP),15167,17648
2호선,신당,15735,16232
2호선,상왕십리,15932,15369
2호선,왕십리(성동구청),17125,14442
2호선,한양대,15842,17888
2호선,뚝섬,26034,27514
2호선,성수,44720,49066
2호선,건대입구,36908,38551
2호선,구의(광진구청),26929,26234
2호선,강변(동서울터미널),31550,29101
2호선,잠실나루,17784,17254
2호선,잠실(송파구청),78504,78779
2호선,잠실새내,24355,23869
2호선,종합운동장,9499,10419
2호선,삼성(무역센터),59430,61082
2호선,선릉,64545,56961
2호선,역삼,58808,67398
2호선,강남,83370,80354
2호선,교대(법원.검찰청),34177,40641
2호선,서초,24907,24147
2호선,방배,17072,17675
2호선,사당,41856,45202
2호선,낙성대(강감찬),29761,29438
2호선,서울대입구(관악구청),50504,48935
2호선,봉천,26249,24393
2호선,신림,58193,55772
2호선,신대방,27840,27107
2호선,구로디지털단지,64353,63856
2호선,대림(구로구청),26686,27255
2호선,신도림,52589,51295
2호선,문래,24757,25185
2호선,영등포구청,24059,24647
2호선,당산,20238,24104
2호선,합정,32540,34746
2호선,홍대입구,66487,69615
2호선,신촌,41384,42194
2호선,이대,19506,21613
2호선,아현,12050,11153
2호선,충정로(경기대입구),11600,12205
2호선,용답,3236,3240
2호선,신답,1849,2152
2호선,신설동,3527,3498
2호선,도림천,1357,1464
2호선,양천구청,7714,8186
2호선,신정네거리,11285,11724
2호선,용두(동대문구청),2645,2716
3호선,지축,7814,7874
3호선,구파발,24102,23365
3호선,연신내,37661,35748
3호선,불광,18090,19139
3호선,녹번,17590,16196
3호선,홍제,20304,19329
3호선,무악재,4906,4768
3호선,독립문,8213,8406
3호선,경복궁(정부서울청사),29556,30449
3호선,안국,29872,30845
3호선,종로3가,11653,13441
3호선,을지로3가,13464,13542
3호선,충무로,4,0
3호선,동대입구,12037,13745
3호선,약수,14252,13799
3호선,압구정,32711,35218
3호선,신사,29267,30488
3호선,잠원,5810,5383
3호선,고속터미널,42177,39104
3호선,교대(법원.검찰청),18323,11305
3호선,남부터미널(예술의전당),31358,32062
3호선,양재(서초구청),41298,45707
3호선,매봉,14597,13985
3호선,도곡,5642,5653
3호선,대치,12672,12570
3호선,학여울,2167,2152
3호선,대청,12054,11362
3호선,일원,12789,12493
3호선,수서,19949,20244
3호선,가락시장,9913,9691
3호선,경찰병원,8507,8382
3호선,오금,7307,6384
4호선,당고개,10369,8943
4호선,상계,21341,20208
4호선,노원,20559,24137
4호선,창동,27568,29069
4호선,쌍문,31795,29608
4호선,수유(강북구청),36752,36888
4호선,미아(서울사이버대학),17162,16620
4호선,미아사거리,28697,28207
4호선,길음,24534,24889
4호선,성신여대입구(돈암),23494,22408
4호선,한성대입구(삼선교),16339,15869
4호선,혜화,41012,41358
4호선,동대문,21954,22425
4호선,동대문역사문화공원(DDP),20125,17684
4호선,충무로,35747,36511
4호선,명동,34236,36788
4호선,회현(남대문시장),28837,30098
4호선,서울역,14194,21453
4호선,숙대입구(갈월),17176,16766
4호선,삼각지,6368,7059
4호선,신용산,19913,21463
4호선,이촌(국립중앙박물관),8750,9799
4호선,동작(현충원),1586,1685
4호선,총신대입구(이수),20607,22340
4호선,사당,27346,24290
4호선,남태령,1425,1269
5호선,방화,7711,7349
5호선,개화산,6746,6397
5호선,김포공항,9353,7581
5호선,송정,6795,6490
5호선,마곡,13434,13700
5호선,발산,24070,24882
5호선,우장산,16539,16274
5호선,화곡,31916,29943
5호선,까치산,30737,29539
5호선,신정(은행정),15205,12656
5호선,목동,18414,19985
5호선,오목교(목동운동장앞),22740,24282
5호선,양평,8491,8274
5호선,영등포구청,5251,5276
5호선,영등포시장,11560,11855
5호선,신길,5254,5329
5호선,여의도,31615,33611
5호선,여의나루,13856,15274
5호선,마포,16266,16656
5호선,공덕,16402,17258
5호선,애오개,7674,7478
5호선,충정로(경기대입구),5371,5584
5호선,서대문,24075,24283
5호선,광화문(세종문화회관),38204,40538
5호선,종로3가,15098,14603
5호선,을지로4가,7512,7319
중앙선,양수,1946,1963
5호선,동대문역사문화공원(DDP),3439,3981
5호선,청구,4408,4092
5호선,신금호,7204,7648
5호선,행당,9074,8112
5호선,왕십리(성동구청),4858,5440
5호선,마장,6610,6126
5호선,답십리,17588,15952
5호선,장한평,21499,21225
5호선,군자(능동),12767,13966
5호선,아차산(어린이대공원후문),16018,15575
5호선,광나루(장신대),15831,14696
5호선,천호(풍납토성),19745,19928
5호선,강동,19720,19281
5호선,길동,8620,8863
5호선,굽은다리(강동구민회관앞),10317,9932
5호선,명일,10082,10538
5호선,고덕,11868,11819
5호선,상일동,16623,15515
5호선,둔촌동,9810,9878
5호선,올림픽공원(한국체대),5387,4623
5호선,방이,7946,8083
5호선,오금,4186,4308
5호선,개롱,7562,7661
5호선,거여,11560,11292
5호선,마천,8610,7808
5호선,강일,6427,5894
5호선,미사,18975,19253
5호선,하남풍산,4914,4877
5호선,하남시청(덕풍·신장),8631,8323
5호선,하남검단산,6743,6352
6호선,응암,19635,19356
6호선,역촌,4180,5077
6호선,불광,4844,4705
6호선,독바위,3024,3184
6호선,연신내,1,0
6호선,구산,8762,6492
6호선,새절(신사),14496,13437
6호선,증산(명지대앞),11059,11126
6호선,디지털미디어시티,16948,18637
6호선,월드컵경기장(성산),5355,5556
6호선,마포구청,15977,14345
6호선,망원,14876,15751
6호선,합정,13862,13637
6호선,상수,11013,11938
6호선,광흥창(서강),10617,10162
6호선,대흥(서강대앞),10878,11277
6호선,공덕,21288,20640
6호선,효창공원앞,8697,8049
6호선,삼각지,8218,7174
6호선,녹사평(용산구청),5588,5400
6호선,이태원,11562,11826
6호선,한강진,9898,11386
6호선,버티고개,2482,2415
6호선,약수,4281,4095
6호선,청구,4257,4345
6호선,신당,9282,9716
6호선,동묘앞,8621,8913
6호선,창신,4082,3510
6호선,보문,8747,8145
6호선,안암(고대병원앞),16151,16718
6호선,고려대(종암),10794,10423
6호선,월곡(동덕여대),14412,13896
6호선,상월곡(한국과학기술연구원),7720,7265
6호선,돌곶이,11373,10414
6호선,석계,13863,14314
6호선,태릉입구,6195,7314
6호선,화랑대(서울여대입구),14536,11322
6호선,봉화산(서울의료원),10331,9660
7호선,장암,2913,1163
7호선,도봉산,10492,11885
7호선,수락산,13355,13096
7호선,마들,14661,13732
7호선,노원,20907,21774
7호선,중계,17102,15945
7호선,하계,20581,19269
7호선,공릉(서울과학기술대),13612,13420
7호선,태릉입구,10197,9802
7호선,먹골,11009,10839
7호선,중화,11822,11643
7호선,상봉(시외버스터미널),18125,17400
7호선,면목,17531,17030
7호선,사가정,17693,17823
7호선,용마산(용마폭포공원),6633,6506
7호선,중곡,12693,11854
7호선,군자(능동),16407,13046
7호선,어린이대공원(세종대),19096,19947
7호선,건대입구,14551,14825
7호선,뚝섬유원지,9425,9068
7호선,청담,21993,24028
7호선,강남구청,18628,20511
7호선,학동,27642,28851
7호선,논현,20201,20346
7호선,반포,7001,6739
7호선,고속터미널,16716,14859
7호선,내방,16611,16815
7호선,이수,17130,16760
7호선,남성,12744,12062
7호선,숭실대입구(살피재),17661,17671
7호선,상도,14117,14095
7호선,장승배기,10252,9937
7호선,신대방삼거리,16464,15708
7호선,보라매,7447,7816
7호선,신풍,12413,11604
7호선,대림(구로구청),8821,8782
7호선,남구로,17020,17894
7호선,가산디지털단지,50391,51059
7호선,철산,23300,23584
7호선,광명사거리,21745,21343
7호선,천왕,13089,12410
7호선,온수(성공회대입구),11744,10666
8호선,암사,20605,18042
8호선,천호(풍납토성),15701,17980
8호선,강동구청,11542,11865
8호선,몽촌토성(평화의문),7460,7445
8호선,잠실(송파구청),15822,18982
8호선,석촌,8527,9733
8호선,송파,10511,10050
8호선,가락시장,8516,9430
8호선,문정,24314,25465
8호선,장지,18701,17157
중앙선,신원,199,172
8호선,복정,10698,9093
8호선,산성,5819,5841
8호선,남한산성입구(성남법원.검찰청),16333,14973
중앙선,양평,3083,3230
8호선,신흥,5372,5650
8호선,수진,5877,5614
8호선,모란,4743,3649
8호선,남위례,8223,8340
9호선,개화,3277,2163
9호선,김포공항,6675,9996
9호선,공항시장,3127,3384
9호선,신방화,7591,7440
9호선,마곡나루(서울식물원),14802,14605
9호선,양천향교,11154,11253
9호선,가양,24374,23853
9호선,증미,8881,8560
9호선,등촌,13222,12624
9호선,염창,19730,19153
9호선,신목동,5155,4430
9호선,선유도,10176,9646
9호선,당산,20964,20892
9호선,국회의사당,19067,19795
9호선,여의도,32411,31553
9호선,샛강,7188,7358
9호선,노량진,27998,27252
9호선,노들,5155,4183
9호선,흑석(중앙대입구),11338,11460
9호선,동작(현충원),1938,1590
9호선,구반포,1239,1297
9호선,신반포,4667,4405
9호선,고속터미널,14067,18765
9호선,사평,4444,4218
9호선,신논현,31651,31017
9호선2~3단계,언주,12603,12756
9호선2~3단계,선정릉,11519,12241
9호선2~3단계,삼성중앙,8603,8925
9호선2~3단계,봉은사,22904,23333
9호선2~3단계,종합운동장,4971,4978
9호선2~3단계,삼전,8234,7637
9호선2~3단계,석촌고분,7437,7205
9호선2~3단계,석촌,9886,9078
9호선2~3단계,송파나루,5540,5874
9호선2~3단계,한성백제,3220,2925
9호선2~3단계,올림픽공원(한국체대),7666,8062
9호선2~3단계,둔촌오륜,1224,1228
9호선2~3단계,중앙보훈병원,13509,11916
경강선,판교,6586,6428
경강선,이매,1331,1150
경강선,삼동,2823,2737
경강선,경기광주,8842,8199
경강선,초월,3936,3736
경강선,곤지암,3113,2906
경강선,신둔도예촌,1642,1502
경강선,이천,2748,2917
경강선,부발,2448,2357
경강선,세종대왕릉,368,366
경강선,여주,2900,3008
경부선,서울역,7610,2649
경부선,남영,11514,12160
경부선,용산,37676,38845
경부선,노량진,9473,9363
경부선,대방,11932,13211
경부선,영등포,39485,40848
경부선,신도림,4457,4607
경부선,신길,9931,8512
경부선,구로,19362,19707
경부선,가산디지털단지,19967,22511
경부선,금천구청,12733,12689
경부선,석수,10230,9270
경부선,관악,8433,7962
경부선,안양,28766,29150
경부선,명학,11159,10956
경부선,금정,30871,31269
경부선,군포,8433,8212
경부선,의왕,10234,10237
경부선,성균관대,17793,17573
경부선,화서,9710,9364
경부선,수원,37752,40053
경부선,독산,20455,21151
경부선,세류,3688,3535
경부선,병점,17939,17618
경부선,세마,3453,3346
경부선,오산대,4611,4284
경부선,오산,10878,11036
경부선,진위,2021,1877
경부선,송탄,4723,4549
경부선,서정리,9524,8725
경부선,평택지제,4746,4602
경부선,평택,13736,13880
경부선,성환,7605,7273
경부선,직산,1032,961
경부선,두정,8414,8584
경부선,천안,7009,6965
경부선,당정,7335,6963
경부선,서동탄,1635,1344
경부선,광명,3781,3276
경원선,이촌(국립중앙박물관),4589,3550
경원선,서빙고,2650,2534
경원선,한남,4609,4342
경원선,옥수,74,41
경원선,응봉,2223,1773
경원선,왕십리(성동구청),16993,17439
경원선,청량리(서울시립대입구),16431,17611
경원선,외대앞,11319,11286
경원선,신이문,9198,8441
경원선,석계,8456,9459
경원선,광운대,10092,9635
경원선,월계,8613,8058
경원선,녹천,4944,4179
경원선,방학,11009,10822
경원선,도봉,6349,6091
경원선,도봉산,7753,4836
경원선,망월사,10402,10589
경원선,회룡,14059,13874
경원선,의정부,19289,19761
경원선,가능,7130,6897
경원선,녹양,5068,4795
경원선,양주,8104,7615
경원선,덕계,5561,4994
경원선,덕정,7183,6798
경원선,지행,6842,6843
경원선,동두천중앙,3136,3121
경원선,보산,1560,1398
경원선,동두천,2641,2793
경원선,소요산,2697,2237
경의선,서울역,5459,6998
경의선,신촌,1208,1554
경의선,효창공원앞,3734,4086
경의선,공덕,4467,3662
경의선,서강대,2753,2699
경의선,홍대입구,2182,2517
경의선,가좌,6744,6288
경의선,디지털미디어시티,3081,2788
경의선,수색,3833,3883
경의선,화전,4001,3782
경의선,강매,3836,3349
경의선,행신,9165,9004
경의선,능곡,5440,5011
경의선,곡산,740,762
경의선,백마,8182,7934
경의선,풍산,6570,6143
경의선,일산,11848,11739
경의선,탄현,8950,8434
경의선,야당,9059,8975
경의선,운정,8423,7681
경의선,금릉,5853,5646
경의선,금촌,7223,7100
경의선,월롱,2624,2291
경의선,파주,1687,1351
경의선,문산,5524,5206
경의선,임진강,51,46
경의선,운천,7,2
경인선,개봉,24017,23497
경인선,오류동,12859,12090
중앙선,국수,771,738
경인선,역곡,30758,30435
경인선,부천,34419,34389
경인선,송내,29908,29526
경인선,부평,29416,30966
경인선,백운,8414,8274
경인선,동암,16898,16890
경인선,주안,21047,19407
경인선,제물포,12359,11733
경인선,동인천,15717,14927
경인선,인천,3848,2928
경인선,구일,7939,7789
경인선,소사,9097,8681
경인선,부개,9820,9150
경인선,간석,6506,6149
경인선,도원,3434,3533
경인선,온수(성공회대입구),7147,6840
경인선,중동,10378,9777
경인선,도화,4695,4371
경춘선,신내,2541,2456
경춘선,갈매,3477,2983
경춘선,별내,3547,3402
경춘선,퇴계원,3927,3659
경춘선,사릉,2567,2470
경춘선,금곡,1688,1676
경춘선,평내호평,7145,6951
경춘선,천마산,1756,1588
경춘선,마석,4162,4053
경춘선,대성리,485,467
경춘선,청평,1713,1723
경춘선,상천,305,283
경춘선,가평,2120,2057
경춘선,굴봉산,99,87
경춘선,백양리,64,74
경춘선,강촌,507,547
경춘선,김유정,331,318
경춘선,남춘천,2560,2481
경춘선,춘천,1660,1437
공항철도 1호선,서울역,12289,10674
공항철도 1호선,공덕,3068,3948
공항철도 1호선,홍대입구,13347,13194
공항철도 1호선,디지털미디어시티,16109,15138
공항철도 1호선,마곡나루(서울식물원),13397,12840
공항철도 1호선,김포공항,10070,6000
공항철도 1호선,계양,14630,13473
공항철도 1호선,검암,7384,7789
중앙선,아신,646,658
공항철도 1호선,청라국제도시,8399,7790
공항철도 1호선,운서,9172,9409
공항철도 1호선,공항화물청사,2366,2548
공항철도 1호선,인천공항1터미널,12776,11782
공항철도 1호선,인천공항2터미널,6328,5407
공항철도 1호선,영종,4042,4155
과천선,선바위,8915,7829
과천선,경마공원,2020,2045
과천선,대공원,4989,4984
과천선,과천,7167,6528
과천선,정부과천청사,12644,13285
과천선,인덕원,27495,28369
과천선,평촌,20581,19888
과천선,범계,28882,29018
분당선,선릉,15038,22735
분당선,한티,16510,17660
분당선,도곡,8377,8181
분당선,구룡,3160,3056
분당선,개포동,5559,5740
분당선,대모산입구,6778,6311
분당선,수서,15738,16362
분당선,복정,3,0
분당선,수원,8641,7548
분당선,서울숲,14139,14764
분당선,압구정로데오,19301,21460
분당선,강남구청,10947,12466
분당선,선정릉,8523,9114
분당선,가천대,13282,13882
분당선,태평,14228,13595
분당선,모란,21089,21452
분당선,야탑,27889,29430
분당선,서현,25573,26046
분당선,수내,15772,16120
분당선,정자,20311,21171
분당선,미금,16631,17912
분당선,오리,12682,10722
분당선,이매,6597,6138
분당선,보정,3061,2738
분당선,죽전,16126,17498
분당선,구성,5553,5696
분당선,신갈,5336,5226
분당선,기흥,12394,11581
분당선,상갈,6098,5752
분당선,청명,5096,4915
분당선,영통,9817,9966
분당선,망포,17310,16538
분당선,매탄권선,6093,5893
분당선,수원시청,14266,15518
분당선,매교,5848,5908
서해선,김포공항,2703,3453
서해선,원종,4563,4669
서해선,부천종합운동장,2761,2140
수인선,고색,6317,5923
수인선,오목천,5549,4796
수인선,어천,1339,1322
수인선,야목,416,350
수인선,사리,5759,5105
수인선,달월,128,84
수인선,월곶,3296,3018
수인선,소래포구,6240,5891
수인선,인천논현,6211,6539
수인선,호구포,4526,4668
수인선,남동인더스파크,2405,2734
수인선,원인재,4877,5178
수인선,연수,5224,5137
수인선,송도,2917,2547
수인선,인하대,8547,8150
수인선,숭의,4585,4394
수인선,신포,2039,2061
수인선,인천,940,1672
신림선,샛강,3285,3735
신림선,대방,2970,2406
신림선,서울지방병무청,3149,3359
신림선,보라매,4216,3807
신림선,보라매공원,2314,2538
신림선,보라매병원,8336,8660
신림선,당곡,4773,4719
신림선,신림,1793,2514
신림선,서원,3668,3124
신림선,서울대벤처타운,10009,9194
신림선,관악산(서울대),3173,3305
안산선,산본,17799,19029
안산선,대야미,5537,5040
안산선,반월,4742,4578
안산선,상록수,17367,17669
안산선,한대앞,11040,11182
안산선,중앙,19917,20918
안산선,고잔,10215,9642
안산선,초지,5801,5911
안산선,안산,12841,11825
안산선,신길온천,2196,2029
안산선,정왕,11344,11640
안산선,오이도,8925,8755
안산선,수리산,4674,3869
우이신설선,북한산우이,3449,2971
우이신설선,솔밭공원,2899,2684
중앙선,오빈,324,313
중앙선,양평,3280,3462
중앙선,오빈,354,365
중앙선,지평,74,72
중앙선,용문,2752,2755
수인선,호구포,4481,4709
1호선,서울역,58096,56192
분당선,태평,14485,13725
분당선,가천대,13661,14113
분당선,선정릉,8698,9196
분당선,강남구청,10838,12420
분당선,압구정로데오,20961,23285
분당선,서울숲,15925,16569
분당선,수원,8943,7984
분당선,수서,16067,16765
분당선,대모산입구,6862,6417
분당선,개포동,5399,5567
분당선,구룡,3234,3129
분당선,도곡,8639,8320
분당선,한티,16639,17702
분당선,선릉,15135,23222
과천선,범계,29277,29559
과천선,평촌,20401,19939
과천선,인덕원,28441,28891
과천선,정부과천청사,13219,13862
과천선,과천,7313,6642
과천선,대공원,5715,6024
과천선,경마공원,1645,1630
과천선,선바위,9418,8258
분당선,수내,15753,16032
분당선,서현,25731,26170
1호선,시청,32368,32047
1호선,종각,44280,44174
1호선,종로3가,29209,26100
1호선,종로5가,27338,27255
1호선,동대문,12274,11957
1호선,신설동,15529,15075
1호선,제기동,19049,19238
1호선,청량리(서울시립대입구),23529,23321
1호선,동묘앞,9715,9896
2호선,시청,31258,30376
2호선,을지로입구,53238,55970
2호선,을지로3가,28001,28001
2호선,을지로4가,15997,16058
2호선,동대문역사문화공원(DDP),16439,19266
2호선,신당,15831,16527
2호선,상왕십리,16027,15581
2호선,왕십리(성동구청),17321,14678
2호선,한양대,15830,17724
2호선,뚝섬,27460,29179
2호선,성수,45145,49650
분당선,야탑,28372,30121
2호선,건대입구,38433,40243
2호선,구의(광진구청),27560,26487
2호선,강변(동서울터미널),33302,30435
2호선,잠실나루,17965,17297
2호선,잠실(송파구청),83207,84006
2호선,잠실새내,24815,24371
2호선,종합운동장,9688,10586
2호선,삼성(무역센터),61567,63409
2호선,선릉,64834,57904
2호선,역삼,58855,68042
2호선,강남,86463,83281
2호선,교대(법원.검찰청),34755,41297
2호선,서초,24366,24071
2호선,방배,20781,21630
2호선,사당,42896,46812
2호선,낙성대(강감찬),30661,29615
2호선,서울대입구(관악구청),51421,50135
2호선,봉천,26336,24549
2호선,신림,59011,56444
2호선,신대방,27941,27154
2호선,구로디지털단지,64091,63713
